Extra_runs_ID,Match_Id,Over_Id,Ball_Id,Extra_Type_Id,Extra_Runs,Innings_No
261,336003,13,3,1,4,2
262,336003,14,3,1,1,2
263,336003,17,3,4,1,1
264,336003,18,1,1,1,2
265,336004,4,3,2,1,1
266,336004,5,5,2,1,1
267,336004,7,6,2,1,2
268,336004,12,1,1,1,2
269,336004,15,6,2,1,2
270,336004,16,1,2,1,2
271,336004,18,1,1,1,2
272,336004,18,5,3,1,1
273,336004,19,3,2,1,2
274,336004,20,6,1,1,1
275,336005,1,5,2,1,2
276,336005,1,6,1,1,2
277,336005,2,3,2,1,2
278,336005,2,6,2,1,2
279,336005,3,4,2,1,1
280,336005,3,6,2,1,2
281,336005,6,3,2,1,2
282,336005,6,6,1,4,1
283,336005,8,4,2,1,2
284,336005,11,4,3,1,2
285,336005,12,1,2,1,1
286,336005,12,5,2,1,2
287,336005,13,3,2,1,1
288,336005,15,5,1,1,2
289,336005,16,1,1,1,1
290,336005,16,3,4,1,1
291,336005,17,2,4,1,1
292,336005,17,3,3,1,2
293,336005,18,6,4,1,1
294,336005,19,4,1,1,1
295,336005,19,4,3,1,2
296,336005,19,6,3,1,1
297,336005,20,5,4,1,1
298,336006,2,1,2,1,1
299,336006,2,5,2,1,2
300,336006,3,5,1,1,2
301,336006,4,1,4,1,1
302,336006,4,2,4,1,1
303,336006,7,3,2,1,1
304,336006,7,3,4,1,2
305,336006,8,2,2,2,1
306,336006,8,3,4,1,2
307,336006,11,2,3,1,2
308,336006,17,3,2,1,1
309,336006,19,1,2,1,2
310,336007,1,3,2,5,1
311,336007,1,4,1,1,1
312,336007,2,3,2,1,1
313,336007,4,3,1,1,1
314,336007,5,5,1,1,2
315,336007,5,6,2,1,1
316,336007,6,1,1,1,2
317,336007,14,5,4,1,1
318,336007,14,7,2,1,1
319,336007,17,3,1,1,1
320,336007,17,6,1,1,2
321,336007,19,2,4,1,1
322,336008,1,3,2,5,2
323,336008,4,1,1,1,1
324,336008,5,3,2,1,1
325,336008,6,3,2,1,1
326,336008,6,4,2,1,2
327,336008,13,6,1,1,1
328,336008,14,4,3,4,1
329,336008,15,1,2,1,1
330,336008,15,4,1,1,1
331,336008,17,2,2,1,1
332,336008,18,2,4,1,1
333,336008,18,4,1,1,1
334,336008,20,1,1,1,1
335,336008,20,4,3,1,2
336,336009,1,3,1,1,1
337,336009,4,3,2,1,1
338,336009,7,3,4,1,2
339,336009,9,4,4,1,1
340,336009,10,4,3,4,1
341,336009,12,6,1,1,2
342,336009,13,5,1,1,1
343,336009,17,4,1,1,2
344,336009,17,6,1,1,2
345,336009,19,4,2,1,1
346,336009,19,6,2,1,1
347,336010,2,4,2,1,1
348,336010,2,7,3,4,1
349,336010,3,2,1,1,2
350,336010,3,6,1,1,1
351,336010,4,2,1,1,2
352,336010,7,1,1,4,2
353,336010,7,3,2,1,2
354,336010,7,5,4,1,2
355,336010,7,7,2,5,2
356,336010,7,8,2,1,2
357,336010,8,5,2,5,2
358,336010,11,6,2,1,2
359,336010,12,4,2,1,2
360,336010,18,3,2,1,1
361,336011,1,1,2,1,1
362,336011,1,6,1,4,2
363,336011,2,2,2,1,2
364,336011,2,3,2,1,1
365,336011,2,4,2,1,2
366,336011,2,6,2,1,2
367,336011,3,3,2,1,2
368,336011,3,4,2,1,1
369,336011,4,2,1,1,2
370,336011,7,1,2,1,1
371,336011,8,1,1,4,2
372,336011,12,2,1,1,1
373,336011,12,2,2,1,2
374,336011,14,2,2,1,2
375,336011,14,6,2,5,1
376,336011,18,3,1,1,2
377,336011,19,3,2,1,2
378,336012,2,3,1,4,1
379,336012,4,1,2,1,1
380,336012,4,2,2,1,2
381,336012,4,7,2,1,1
382,336012,5,5,1,1,1
383,336012,6,5,2,1,1
384,336012,8,2,4,1,2
385,336012,8,3,4,1,2
386,336012,11,5,2,1,1
387,336012,13,2,1,1,2
388,336012,16,3,1,1,1
389,336012,17,3,2,1,2
390,336013,1,4,2,1,2
391,336013,1,6,2,1,2
392,336013,2,4,2,1,2
393,336013,4,4,1,1,2
394,336013,7,1,2,1,1
395,336013,7,3,2,1,1
396,336013,7,5,2,1,1
397,336013,7,7,1,1,1
398,336013,9,1,1,1,2
399,336013,9,4,1,1,1
400,336013,9,5,2,1,1
401,336013,10,3,2,1,2
402,336013,11,2,2,1,2
403,336013,13,5,2,1,1
404,336013,15,4,2,3,2
405,336013,16,2,2,1,2
406,336013,16,3,2,1,2
407,336014,1,2,1,1,1
408,336014,2,6,4,1,1
409,336014,2,7,4,1,1
410,336014,3,4,1,1,2
411,336014,5,3,2,1,2
412,336014,6,3,2,2,2
413,336014,7,5,2,1,1
414,336014,7,6,1,1,1
415,336014,8,3,2,1,2
416,336014,8,4,2,1,2
417,336014,10,2,1,1,1
418,336014,11,2,1,1,1
419,336014,11,5,1,1,2
420,336014,13,1,1,1,2
421,336014,13,3,2,1,1
422,336014,13,5,1,1,1
423,336014,13,6,2,1,1
424,336014,14,3,2,1,1
425,336014,16,1,1,1,2
426,336014,16,6,1,1,1
427,336014,18,3,3,1,2
428,336014,20,2,2,1,2
429,336015,2,6,2,1,1
430,336015,3,1,2,1,2
431,336015,3,2,2,1,1
432,336015,5,3,2,1,2
433,336015,7,1,1,1,2
434,336015,8,5,1,1,2
435,336015,9,4,1,1,2
436,336015,9,6,1,1,1
437,336015,12,1,1,1,1
438,336015,13,6,4,1,2
439,336015,16,6,1,1,1
440,336016,2,3,4,1,1
441,336016,2,4,1,1,1
442,336016,3,2,2,1,2
443,336016,4,6,2,1,2
444,336016,7,2,3,1,2
445,336016,12,1,2,2,2
446,336016,13,4,2,1,2
447,336016,14,1,1,1,1
448,336016,15,5,2,5,2
449,336016,20,1,2,1,1
450,336016,20,6,1,1,1
451,336016,20,7,1,1,1
452,336017,2,2,2,1,2
453,336017,4,4,1,1,2
454,336017,4,6,2,1,2
455,336017,5,6,2,1,2
456,336017,5,7,2,5,2
457,336017,7,2,2,2,2
458,336017,7,5,1,1,2
459,336017,9,4,2,1,1
460,336017,11,3,4,1,1
461,336017,14,6,2,1,2
462,336017,15,1,2,1,1
463,336017,16,1,2,5,1
464,336017,17,5,2,1,1
465,336017,17,6,2,1,1
466,336017,17,8,2,1,1
467,336018,1,2,2,1,1
468,336018,1,3,2,1,1
469,336018,2,4,2,1,1
470,336018,3,3,2,1,1
471,336018,4,5,2,1,1
472,336018,5,2,1,1,1
473,336018,6,2,4,1,1
474,336018,6,5,2,1,1
475,336018,7,1,2,1,1
476,336018,10,1,2,1,2
477,336018,10,2,1,1,1
478,336018,11,4,1,1,2
479,336018,12,3,2,1,1
480,336018,13,1,2,1,1
481,336018,16,2,2,1,2
482,336018,18,6,1,1,1
483,336018,19,2,2,1,1
484,336018,19,4,1,1,1
485,336019,3,2,2,1,2
486,336019,4,5,1,1,2
487,336019,6,4,4,1,2
488,336019,6,5,4,1,2
489,336019,6,8,4,1,2
490,336019,8,5,2,1,1
491,336019,8,6,1,4,2
492,336019,9,3,2,1,1
493,336019,10,2,1,1,2
494,336019,10,5,1,1,2
495,336019,11,4,1,1,2
496,336019,12,3,1,1,1
497,336019,14,4,2,1,1
498,336019,17,3,2,1,2
499,336019,19,2,4,1,1
500,336019,19,4,2,1,2
501,336019,19,7,2,1,2
502,336019,20,2,4,1,2
503,336020,3,3,2,1,2
504,336020,4,4,1,1,2
505,336020,4,6,2,1,2
506,336020,5,3,2,1,1
507,336020,5,6,1,1,1
508,336020,6,5,1,2,1
509,336020,6,6,1,4,2
510,336020,7,2,1,1,2
511,336020,9,2,4,1,2
512,336020,9,3,4,1,2
513,336020,9,4,3,2,2
514,336020,10,4,2,1,1
515,336020,12,2,1,1,1
516,336020,12,3,2,1,2
517,336020,12,5,1,1,2
518,336020,13,6,4,1,2
519,336020,14,1,1,1,1
520,336020,14,2,2,2,1
521,336020,15,3,2,1,2
522,336020,15,6,2,1,2
523,336020,16,6,1,1,1
524,336020,20,4,3,1,1
525,336021,1,1,2,2,2
526,336021,2,1,1,1,1
527,336021,6,1,2,5,1
528,336021,8,6,1,4,2
529,336021,10,1,2,1,1
530,336021,11,5,2,1,2
531,336021,14,1,2,1,2
532,336021,15,5,1,1,2
533,336021,18,3,2,1,1
534,336021,18,4,1,1,1
535,336021,19,4,3,1,1
536,336021,20,1,2,1,1
537,336021,20,7,3,4,1
538,336022,1,1,1,1,1
539,336022,1,2,2,1,2
540,336022,2,5,2,1,1
541,336022,4,5,1,1,2
542,336022,6,1,2,1,1
543,336022,6,4,2,1,1
544,336022,7,2,4,1,1
545,336022,7,6,2,1,1
546,336022,7,7,2,1,1
547,336022,8,2,2,1,2
548,336022,10,6,2,1,1
549,336022,13,2,1,1,1
550,336022,14,1,2,1,1
551,336022,17,4,1,1,1
552,336022,18,5,2,5,2
553,336023,2,1,2,1,2
554,336023,2,7,1,1,2
555,336023,3,6,2,1,2
556,336023,3,7,2,1,2
557,336023,4,2,1,1,2
558,336023,4,5,1,1,2
559,336023,5,5,2,1,2
560,336023,6,4,2,1,2
561,336023,7,2,2,1,2
562,336023,7,3,2,1,2
563,336023,8,2,2,1,2
564,336023,8,6,1,1,1
565,336023,9,4,2,1,2
566,336023,10,1,1,1,2
567,336023,10,4,2,2,2
568,336023,10,5,2,1,1
569,336023,10,6,1,1,1
570,336023,11,1,2,1,2
571,336023,13,2,2,1,1
572,336023,14,1,2,1,1
573,336023,15,5,2,1,1
574,336023,17,5,1,1,1
575,336023,20,1,2,1,1
576,336023,20,2,2,3,1
577,336023,20,3,2,1,1
578,336024,3,3,2,1,1
579,336024,4,3,2,1,2
580,336024,4,5,1,1,1
581,336024,7,3,1,1,2
582,336024,17,1,1,1,2
583,336024,17,2,4,1,1
584,336024,17,3,2,1,1
585,336024,19,3,1,1,2
586,336024,20,2,2,1,1
587,336025,1,6,1,1,2
588,336025,2,2,2,1,2
589,336025,4,1,2,1,1
590,336025,4,4,2,1,2
591,336025,4,6,1,1,1
592,336025,6,5,2,1,1
593,336025,10,3,2,1,1
594,336025,15,2,2,1,1
595,336025,16,2,2,1,1
596,336025,16,5,1,1,1
597,336025,18,3,1,1,1
598,336026,1,2,2,1,2
599,336026,2,2,2,1,2
600,336026,2,5,2,1,1
601,336026,2,5,1,1,2
602,336026,3,3,2,1,1
603,336026,4,2,2,1,1
604,336026,4,7,2,1,1
605,336026,5,1,2,1,2
606,336026,5,4,2,1,2
607,336026,6,3,4,1,2
608,336026,6,4,1,4,2
609,336026,6,6,2,1,1
610,336026,9,4,1,1,1
611,336026,13,5,2,1,1
612,336026,14,6,1,1,1
613,336027,1,2,2,1,1
614,336027,1,3,2,2,1
615,336027,1,7,2,1,1
616,336027,2,2,2,1,2
617,336027,5,2,2,1,2
618,336027,5,4,2,1,1
619,336027,7,1,2,1,1
620,336027,7,6,1,1,2
621,336027,8,4,1,1,2
622,336027,9,2,2,1,1
623,336027,9,3,1,1,1
624,336027,10,2,4,1,1
625,336027,11,3,1,1,1
626,336028,1,2,3,1,1
627,336028,1,3,2,1,1
628,336028,2,4,2,4,1
629,336028,3,1,2,1,2
630,336028,3,6,2,1,2
631,336028,4,5,2,1,1
632,336028,4,7,1,1,1
633,336028,5,4,2,1,2
634,336028,7,3,2,1,2
635,336028,7,5,2,5,1
636,336028,8,1,4,1,1
637,336028,9,1,1,2,1
638,336028,10,3,2,2,1
639,336028,10,6,1,1,1
640,336028,13,3,2,2,2
641,336028,14,6,2,5,1
642,336028,20,2,1,2,1
643,336029,1,2,2,1,1
644,336029,2,1,2,1,2
645,336029,5,5,2,1,2
646,336029,6,2,2,1,2
647,336029,7,4,1,4,1
648,336029,8,1,3,1,2
649,336029,9,6,1,2,1
650,336029,11,5,2,1,1
651,336029,12,1,1,1,1
652,336029,12,3,1,1,1
653,336029,12,4,1,1,1
654,336029,13,2,2,2,1
655,336029,17,2,1,1,2
656,336029,17,4,4,1,2
657,336029,17,5,4,1,1
658,336029,19,1,2,1,1
659,336029,19,3,2,1,1
660,336029,19,4,4,1,1
661,336029,19,5,1,1,1
662,336029,19,6,2,1,1
663,336029,19,7,1,1,1
664,336029,20,2,1,1,2
665,336029,20,4,1,1,2
666,336030,1,1,2,1,2
667,336030,1,2,2,1,2
668,336030,1,5,4,1,1
669,336030,1,6,3,1,1
670,336030,3,5,1,1,1
671,336030,3,6,1,1,1
672,336030,6,5,1,1,2
673,336030,8,2,2,1,2
674,336030,9,1,1,1,1
675,336030,9,2,1,1,1
676,336030,9,3,1,1,1
677,336030,11,1,2,1,1
678,336030,14,2,1,1,1
679,336030,15,1,2,1,1
680,336030,18,4,2,1,1
681,336030,19,5,3,1,1
682,336030,20,1,1,1,1
683,336031,1,6,1,4,2
684,336031,2,1,2,1,1
685,336031,2,3,2,5,1
686,336031,2,6,2,1,1
687,336031,2,6,2,5,2
688,336031,5,1,2,1,1
689,336031,5,2,1,1,2
690,336031,13,2,2,1,1
691,336031,13,5,3,1,2
692,336031,17,6,1,1,2
693,336032,1,1,2,2,1
694,336032,1,5,1,1,1
695,336032,3,4,2,1,1
696,336032,8,6,2,1,2
697,336032,9,2,1,1,1
698,336032,9,3,1,2,2
699,336032,11,5,1,1,2
700,336032,14,6,1,1,2
701,336032,17,2,2,1,2
702,336032,17,3,2,1,2
703,336033,1,1,2,1,2
704,336033,1,2,2,5,2
705,336033,1,3,2,1,2
706,336033,2,3,2,2,2
707,336033,2,6,1,1,2
708,336033,3,1,1,1,2
709,336033,4,5,1,1,2
710,336033,6,1,1,1,1
711,336033,7,6,1,1,1
712,336033,8,3,1,1,2
713,336033,11,4,2,1,1
714,336033,12,2,1,1,2
715,336033,12,5,1,1,1
716,336033,14,2,2,1,1
717,336033,14,5,1,4,2
718,336033,15,3,1,1,2
719,336033,16,6,1,1,2
720,336033,17,2,2,5,1
721,336033,18,3,1,1,2
722,336033,20,1,2,2,1
723,336033,20,1,4,1,2
724,336033,20,4,3,1,2
725,336034,1,2,2,1,2
726,336034,3,3,2,5,2
727,336034,3,4,4,1,2
728,336034,6,5,1,1,1
729,336034,8,1,1,1,1
730,336034,8,3,2,1,1
731,336034,13,6,4,1,2
732,336034,14,4,1,1,2
733,336034,16,2,1,1,1
734,336034,18,3,2,1,2
735,336034,18,7,1,1,2
736,336034,19,2,2,1,2
737,336036,2,5,1,1,1
738,336036,6,4,2,1,1
739,336036,8,2,1,1,2
740,336036,8,6,2,1,2
741,336036,10,6,1,1,1
742,336036,11,2,2,1,2
743,336036,11,3,1,1,1
744,336036,11,4,2,1,2
745,336036,16,5,1,1,2
746,336036,17,5,2,1,2
747,336036,18,1,2,1,2
748,336036,19,6,1,1,1
749,336036,20,1,1,1,2
750,336037,2,2,2,1,1
751,336037,7,1,2,1,1
752,336037,7,3,2,2,1
753,336037,7,7,2,1,1
754,336037,9,1,2,1,2
755,336037,9,4,2,1,1
756,336037,9,5,2,1,1
757,336037,15,3,1,2,2
758,336037,17,2,1,1,1
759,336037,19,6,4,1,1
760,336038,1,3,4,1,1
761,336038,1,4,2,1,2
762,336038,1,5,1,4,1
763,336038,2,1,1,1,2
764,336038,7,1,2,1,1
765,336038,7,6,1,1,2
766,336038,7,7,1,1,1
767,336038,8,3,2,1,2
768,336038,10,1,4,1,2
769,336038,10,6,3,1,2
770,336038,11,6,2,1,2
771,336038,19,5,4,1,2
772,336038,20,2,4,1,2
773,336039,1,1,2,1,2
774,336039,1,2,1,1,2
775,336039,4,5,2,1,1
776,336039,5,2,2,1,1
777,336039,9,3,3,1,2
778,336039,10,5,1,1,1
779,336039,10,6,2,1,2
780,336039,12,2,1,1,1
781,336039,16,3,1,1,1
782,336039,18,4,1,1,2
783,336039,19,3,1,1,2
784,336040,1,1,2,1,2
785,336040,1,3,2,1,1
786,336040,2,5,2,5,1
787,336040,4,2,2,1,1
788,336040,5,6,2,1,2
789,336040,6,5,2,1,1
790,336040,9,3,2,1,1
791,336040,10,4,2,1,2
792,336040,11,3,1,1,2
793,336040,12,2,2,1,2
794,336040,18,2,2,1,1
795,336040,18,6,1,4,2
796,336040,20,2,1,1,1
797,336041,1,5,2,1,1
798,336041,2,1,2,1,1
799,336041,4,5,2,1,2
800,336041,5,1,2,1,2
801,336041,5,6,2,1,1
802,336041,6,2,1,1,2
803,336041,6,3,2,1,2
804,336041,8,4,1,1,2
805,336041,8,5,2,1,2
806,336041,9,5,1,1,1
807,336041,11,1,1,2,1
808,336041,12,1,3,4,2
809,336041,13,6,2,1,1
810,336041,15,2,1,1,1
811,336041,16,3,1,1,1
812,336041,16,6,2,1,1
813,336041,18,3,1,4,2
814,336041,18,6,2,1,1
815,336041,19,2,4,1,2
816,336041,19,3,1,1,1
817,336041,20,2,4,1,1
818,336041,20,6,2,1,2
819,336042,1,1,2,1,2
820,336042,1,5,2,1,2
821,336042,2,6,1,1,1
822,336042,4,4,2,1,2
823,336042,5,6,2,1,2
824,336042,7,2,1,4,1
825,336042,8,3,1,1,2
826,336042,8,5,1,1,1
827,336042,8,6,2,1,2
828,336042,8,7,2,1,2
829,336042,9,1,2,1,1
830,336042,9,4,2,1,1
831,336042,12,1,2,1,1
832,336042,12,3,1,1,2
833,336042,12,5,2,1,2
834,336042,12,6,2,1,2
835,336042,14,3,1,1,2
836,336042,15,1,1,1,1
837,336042,16,2,2,1,1
838,336042,18,3,1,1,1
839,336042,18,6,2,2,1
840,336042,19,3,2,1,1
841,336042,20,3,3,1,1
842,336043,1,2,2,1,1
843,336043,1,3,2,2,2
844,336043,1,7,1,1,2
845,336043,2,1,2,1,2
846,336043,3,5,2,1,2
847,336043,10,3,1,2,2
848,336043,10,6,2,1,1
849,336043,11,2,2,1,1
850,336043,16,5,1,1,1
851,336044,2,6,2,1,2
852,336044,3,3,2,1,1
853,336044,3,4,2,1,2
854,336044,7,2,2,1,2
855,336044,14,4,2,1,2
856,336044,16,6,2,1,1
857,336044,20,2,3,1,1
858,336044,20,6,3,1,1
859,336045,1,2,2,1,1
860,336045,3,4,3,1,2
861,336045,3,5,1,4,2
862,336045,4,1,1,1,1
863,336045,8,3,1,1,1
864,336045,9,2,2,1,2
865,336045,9,3,1,1,2
866,336045,9,4,2,1,2
867,336045,12,3,4,1,2
868,336045,12,6,2,1,1
869,336045,18,2,4,1,2
870,336045,18,6,2,1,2
871,336045,18,8,1,1,2
872,336045,19,2,2,1,1
873,336045,19,3,4,1,1
874,336045,19,5,3,1,1
875,336045,20,4,2,2,2
876,392186,2,1,1,1,1
877,392186,5,5,2,1,2
878,392186,6,1,1,4,2
879,392186,6,2,1,1,2
880,392186,6,6,2,1,2
881,392186,10,3,1,1,2
882,392186,12,2,2,1,1
883,392186,16,4,3,1,1
884,392186,20,6,2,1,2
885,392187,1,5,2,1,2
886,392187,2,2,1,1,1
887,392187,2,5,2,1,2
888,392187,2,7,2,1,2
889,392187,3,5,2,1,2
890,392187,4,3,2,1,2
891,392187,5,3,4,1,2
892,392187,7,3,2,1,2
893,392187,11,1,2,1,2
894,392187,14,3,1,1,1
895,392187,14,6,1,1,2
896,392187,15,3,2,1,1
897,392187,20,1,2,1,1
898,392188,1,1,2,1,1
899,392188,1,2,1,1,1
900,392188,1,2,2,1,2
901,392188,1,3,2,1,1
902,392188,1,7,1,1,1
903,392188,2,3,2,1,2
904,392188,3,1,1,1,1
905,392188,3,1,1,1,2
906,392188,3,2,3,1,2
907,392188,5,5,1,1,1
908,392188,5,5,2,1,2
909,392188,6,5,2,1,1
910,392188,10,5,2,1,1
911,392189,5,1,1,2,1
912,392189,6,5,2,1,1
913,392189,8,3,1,1,1
914,392189,10,4,2,1,2
915,392189,13,1,3,1,2
916,392189,19,4,1,1,1
917,392190,1,5,1,1,1
918,392190,2,4,2,1,1
919,392190,3,4,2,1,2
920,392190,3,6,1,1,2
921,392190,4,4,2,1,2
922,392190,5,5,2,1,2
