ID,Match_Id,Team_1,Team_2,Match_Date,Season_Id,Venue_Id,Toss_Winner,Toss_Decide,Win_Type,Win_Margin,Outcome_type,Match_Winner,Man_of_the_Match
352,598032,2,10,23/04/13,6,1,10,1,1,130,1,2,162
353,598033,4,6,16/05/13,6,22,6,1,1,7,1,4,320
354,598034,1,7,24/04/13,6,5,1,2,2,5,1,7,147
355,598035,3,11,25/04/13,6,8,11,2,2,5,1,3,20
356,598036,1,4,26/04/13,6,5,4,2,2,6,1,1,9
357,598037,5,11,27/04/13,6,6,11,2,2,8,1,5,310
358,598038,7,2,27/04/13,6,4,7,2,1,58,1,7,147
359,598039,3,1,28/04/13,6,8,1,1,1,14,1,3,19
360,598040,6,10,28/04/13,6,27,10,1,1,15,1,6,187
361,598041,5,2,29/04/13,6,6,5,1,2,4,1,5,351
362,598042,7,4,29/04/13,6,4,7,2,1,4,1,7,57
363,598043,10,3,30/04/13,6,26,3,2,1,37,1,3,20
364,598044,11,7,01/05/13,6,7,7,2,2,7,1,11,84
365,598045,6,1,01/05/13,6,27,1,2,2,7,1,6,187
366,598046,3,4,02/05/13,6,8,3,2,1,15,1,3,21
367,598047,10,2,02/05/13,6,26,2,2,1,17,1,2,110
368,598048,1,5,03/05/13,6,5,5,2,2,8,1,1,31
369,598049,11,6,04/05/13,6,7,6,2,2,6,1,11,362
370,598050,2,4,14/05/13,6,1,4,1,2,7,1,4,53
371,598051,7,3,05/05/13,6,4,7,2,1,60,1,7,357
372,598052,5,10,05/05/13,6,6,10,2,2,5,1,5,85
373,598053,2,11,09/04/13,6,1,11,2,2,7,1,2,8
374,598054,5,6,07/05/13,6,6,6,2,2,9,1,5,85
375,598055,7,1,07/05/13,6,4,7,2,1,65,1,7,133
376,598056,11,3,08/05/13,6,7,11,1,1,77,1,3,21
377,598057,4,5,09/05/13,6,2,5,1,2,8,1,5,309
378,598058,10,1,09/05/13,6,26,1,2,1,46,1,1,40
379,598059,6,2,10/05/13,6,3,6,1,1,4,1,2,346
380,598060,10,7,11/05/13,6,26,10,2,2,5,1,7,357
381,598061,4,11,11/05/13,6,2,4,1,1,30,1,11,17
382,598062,1,2,12/05/13,6,28,1,1,2,5,1,1,9
383,598063,5,3,12/05/13,6,6,5,1,2,5,1,5,32
384,598064,6,4,23/04/13,6,3,4,1,2,5,1,4,256
385,598065,7,11,13/05/13,6,4,11,2,2,7,1,7,221
386,598066,1,10,15/05/13,6,28,1,1,1,7,1,10,96
387,598067,3,6,14/05/13,6,8,3,2,1,33,1,3,20
388,598068,7,5,15/05/13,6,4,5,1,1,14,1,7,207
389,598069,4,2,06/05/13,6,2,4,1,2,6,1,4,320
390,598070,11,5,17/05/13,6,7,11,2,1,23,1,11,136
391,598071,4,7,18/05/13,6,22,7,1,1,50,1,4,321
392,598072,10,6,19/05/13,6,26,10,2,1,38,1,10,358
393,598073,2,3,18/05/13,6,1,3,1,1,24,1,2,8
394,598074,11,1,19/05/13,6,7,1,2,2,5,1,11,17
395,598075,3,7,21/05/13,6,3,3,2,1,48,1,3,19
396,598076,5,11,22/05/13,6,3,11,2,2,4,1,5,104
397,598077,7,5,24/05/13,6,5,5,2,2,4,1,7,50
398,598078,3,7,26/05/13,6,5,7,2,1,23,1,7,221
399,729284,7,1,16/04/14,7,29,1,2,1,41,1,1,9
400,729286,6,2,17/04/14,7,30,2,1,2,8,1,2,382
401,729288,3,4,18/04/14,7,29,3,2,2,6,1,4,305
402,729290,11,5,18/04/14,7,29,5,1,2,4,1,5,85
